Date,BND,SPY,TSLA
2017-10-11,1249500,47674300,67512000
2017-10-12,1723400,47065100,61305000
2017-10-13,1772800,54800400,53107500
2017-10-16,1471500,38221700,80632500
2017-10-17,1381100,31561000,49399500
2017-10-18,1522900,40888300,74086500
2017-10-19,1515800,61903800,75927000
2017-10-20,1935600,89176400,73956000
2017-10-23,2649700,63915300,86209500
2017-10-24,2287200,66935900,67375500
2017-10-25,1576700,103715300,128911500
2017-10-26,1915600,69798000,75352500
2017-10-27,1734400,85562500,104695500
2017-10-30,1542600,54285700,63816000
2017-10-31,1977100,60304800,85084500
2017-11-01,1596000,54202700,126859500
2017-11-02,2373200,56449500,296871000
2017-11-03,1370500,59589700,133410000
2017-11-06,1336700,49652600,97290000
2017-11-07,2450800,57502200,79414500
2017-11-08,2312700,50469600,70879500
2017-11-09,2115800,95085500,81706500
2017-11-10,1724400,59984700,69381000
2017-11-13,1698500,50228600,113773500
2017-11-14,1659300,61315200,85141500
2017-11-15,2859400,80811500,89680500
2017-11-16,1637000,67777000,87331500
2017-11-17,2257700,75756800,206026500
2017-11-20,1528300,48075500,123715500
2017-11-21,1925700,69176800,108919500
2017-11-22,1631900,45033400,73764000
2017-11-24,837000,27856500,48661500
2017-11-27,1516900,52274900,68338500
2017-11-28,1846700,98971700,74242500
